emp_title,emp_length,home_ownership,annual_inc,verification_status,addr_state,avg_cur_bal,Tot_cur_bal,loan_status,loan_amount,state,funded_amount,term,int_rate,installment,grade,pymnt_plan,type,purpose,description
Medical/Office Asst. ,7 years,MORTGAGE,43000,Not Verified,LA,7686,92226,Charged Off,13200,LA,13200, 60 months,0.2343,375.39001,F,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Member Service Representative ,4 years,MORTGAGE,38924,Not Verified,IL,13713,178263,Current,6000,IL,6000, 36 months,0.1408,205.3,C,false,Individual,credit_card,Credit card refinancing
Program Coordinator,10+ years,RENT,55000,Source Verified,MN,2765,38716,Fully Paid,8550,MN,8550, 36 months,0.1399,292.17999,C,false,Individual,debt_consolidation,Debt consolidation
Medtech,10+ years,RENT,42500,Source Verified,PA,1093,22959,Current,12000,PA,12000, 36 months,0.1047,389.85999,B,false,Individual,credit_card,Credit card refinancing
medical technician,6 years,MORTGAGE,58000,Verified,NC,19437,233244,Fully Paid,20000,NC,20000, 36 months,0.1229,667.06,C,false,Individual,debt_consolidation,Debt consolidation
Operator 3,10+ years,MORTGAGE,75000,Source Verified,CA,46362,602701,Current,4000,CA,4000, 36 months,0.1349,135.73,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Medical Examiner,5 years,MORTGAGE,225000,Verified,TX,26253,472557,Current,20000,TX,20000, 60 months,0.1155,440.35999,B,false,Joint App,other,Other
teacher,10+ years,MORTGAGE,110000,Verified,NJ,36509,292071,Current,12000,NJ,12000, 36 months,0.0819,377.09,A,false,Individual,major_purchase,Major purchase
Counter Attendant ,2 years,OWN,22000,Not Verified,IL,978,7825,Fully Paid,4175,IL,4175, 36 months,0.1699,148.83,D,false,Individual,debt_consolidation,Debt consolidation
Costco,8 years,RENT,62500,Verified,OR,1797,10780,Fully Paid,12000,OR,12000, 36 months,0.1311,404.97,B,false,INDIVIDUAL,debt_consolidation,Freedom 
Electricians Mate,10+ years,RENT,70000,Source Verified,CA,2452,51484,Fully Paid,15000,CA,15000, 60 months,0.1099,326.07001,B,false,Individual,credit_card,Credit card refinancing
assembly,8 years,MORTGAGE,45000,Not Verified,MI,4563,36500,Current,5000,MI,5000, 36 months,0.1474,172.7,C,false,Individual,home_improvement,Home improvement
detective,8 years,RENT,41000,Verified,ID,7682,145965,Current,12000,ID,12000, 60 months,0.1446,282.09,C,false,INDIVIDUAL,credit_card,Credit card refinancing
Sales,10+ years,MORTGAGE,58000,Not Verified,MD,37160,297285,Fully Paid,10000,MD,10000, 36 months,0.1269,335.45001,C,false,Individual,debt_consolidation,Debt consolidation
Executive Assistant,9 years,MORTGAGE,65500,Source Verified,TX,2923,29225,Fully Paid,8000,TX,8000, 36 months,0.1359,271.84,C,false,Individual,home_improvement,Home improvement
Head waiter,10+ years,MORTGAGE,52400,Source Verified,CO,21907,219070,Charged Off,14000,CO,14000, 36 months,0.1499,485.25,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Area Manager,5 years,MORTGAGE,110000,Not Verified,TX,6136,67495,Current,40000,TX,40000, 60 months,0.0819,814.70001,A,false,Individual,debt_consolidation,Debt consolidation
Medical Equipment Planner,1 year,MORTGAGE,98000,Verified,TX,14112,169349,Charged Off,27000,TX,27000, 36 months,0.1099,883.82001,B,false,Individual,debt_consolidation,Debt consolidation
Banquet server ,8 years,MORTGAGE,75000,Source Verified,CA,453,3627,Current,21000,CA,21000, 60 months,0.1899,544.64001,E,false,Individual,home_improvement,Home improvement
clinical coding specialist,6 years,OWN,95000,Source Verified,CA,2623,13117,Current,15000,CA,15000, 60 months,0.1333,343.84,C,false,Individual,debt_consolidation,Debt consolidation
Senior Electrical Engineer,3 years,MORTGAGE,85000,Verified,WI,6925,69247,Current,24000,WI,24000, 36 months,0.1102,785.96002,B,false,Joint App,debt_consolidation,Debt consolidation
Dialysis Technican ,< 1 year,MORTGAGE,56000,Not Verified,MD,3475,83395,Current,7000,MD,7000, 36 months,0.0756,217.94,A,false,Individual,debt_consolidation,Debt consolidation
Office Manager/Administrator,6 years,OWN,95000,Source Verified,AK,1931,44411,Current,15000,AK,15000, 36 months,0.0646,459.47,A,false,Individual,credit_card,Credit card refinancing
Practice Coordinator,6 years,RENT,32000,Not Verified,PA,2076,47748,Fully Paid,10900,PA,10900, 36 months,0.1144,359.13,B,false,Individual,credit_card,Credit card refinancing
Examiner ,8 years,MORTGAGE,30000,Not Verified,NE,66716,333581,Current,6000,NE,6000, 36 months,0.0756,186.81,A,false,Joint App,debt_consolidation,Debt consolidation
Owner,6 years,MORTGAGE,150000,Source Verified,TX,14018,168220,Fully Paid,10500,TX,10500, 36 months,0.0639,321.29001,A,false,Individual,credit_card,Credit card refinancing
Senior Attorney,10+ years,OWN,95000,Verified,NY,1677,23471,Fully Paid,22000,NY,22000, 36 months,0.0593,668.59003,A,false,Individual,credit_card,Credit card refinancing
Assistant Manager,5 years,MORTGAGE,51000,Source Verified,KS,2109,21087,Current,6000,KS,6000, 36 months,0.1691,213.64999,C,false,Joint App,credit_card,Credit card refinancing
LICENSED VOCATIONAL NURSE,9 years,RENT,57000,Source Verified,CA,4084,57175,Current,28500,CA,28500, 60 months,0.1149,626.65002,B,false,Individual,debt_consolidation,Debt consolidation
Deputy Sheriff,5 years,RENT,70000,Source Verified,CA,1991,33844,Current,16000,CA,16000, 36 months,0.1274,537.10999,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
parts Manager,5 years,MORTGAGE,50000,Not Verified,NC,19873,139108,Fully Paid,4000,NC,4000, 36 months,0.1561,139.86,D,false,Individual,debt_consolidation,Debt consolidation
Administrative Analyst,10+ years,RENT,55000,Not Verified,CA,4831,28985,Fully Paid,2500,CA,2500, 36 months,0.2,92.910004,D,false,Individual,debt_consolidation,Debt consolidation
Operations manager,9 years,MORTGAGE,96000,Not Verified,PA,6583,164581,Current,11200,PA,11200, 60 months,0.1099,243.46001,B,false,INDIVIDUAL,home_improvement,Home improvement
Front Desk,< 1 year,RENT,35000,Source Verified,MA,2003,14022,Current,10000,MA,10000, 36 months,0.1602,351.67001,C,false,Individual,other,Other
Server,10+ years,RENT,95000,Source Verified,CA,4054,44592,Current,9500,CA,9500, 36 months,0.1359,322.79999,C,false,Individual,debt_consolidation,Debt consolidation
Enginner,10+ years,MORTGAGE,80000,Verified,CA,121839,609197,Fully Paid,14000,CA,14000, 36 months,0.0762,436.26001,A,false,INDIVIDUAL,credit_card,Debt Consolidation
General manager,< 1 year,MORTGAGE,200000,Source Verified,IL,28255,423830,Current,40000,IL,40000, 60 months,0.0993,848.51001,B,false,Individual,debt_consolidation,Debt consolidation
Religious Education Coordinator,3 years,RENT,28905,Not Verified,CA,796,6371,Charged Off,4100,CA,4100, 36 months,0.1561,143.36,D,false,Individual,debt_consolidation,Debt consolidation
quality control,1 year,MORTGAGE,65000,Not Verified,FL,2450,58799,Fully Paid,12000,FL,12000, 36 months,0.1499,415.92999,C,false,Individual,credit_card,Credit card refinancing
Director of Market Development,10+ years,MORTGAGE,196000,Not Verified,OH,11190,167849,Current,10000,OH,10000, 36 months,0.1691,356.07999,C,false,Individual,debt_consolidation,Debt consolidation
Driver,5 years,RENT,36000,Source Verified,TX,2889,34663,Current,5000,TX,5000, 36 months,0.1612,176.09,C,false,Individual,credit_card,Credit card refinancing
collector,10+ years,RENT,41272,Verified,CA,1592,28648,Fully Paid,13000,CA,13000, 36 months,0.1719,464.72,C,false,Individual,debt_consolidation,Debt consolidation
nursing assistant,10+ years,RENT,28000,Not Verified,NY,1297,10377,Fully Paid,4800,NY,4800, 36 months,0.1229,160.10001,C,false,Individual,debt_consolidation,Debt consolidation
gatestone and co,< 1 year,RENT,33000,Verified,AZ,4975,49752,Charged Off,5000,AZ,5000, 60 months,0.1433,117.2,C,false,INDIVIDUAL,major_purchase,Major purchase
Store Mnager,4 years,RENT,45000,Verified,NV,6409,44865,Current,6400,NV,6400, 36 months,0.098,205.91,B,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Math Teacher,1 year,RENT,98000,Source Verified,NM,2902,58038,Fully Paid,16000,NM,16000, 36 months,0.1144,527.15997,B,false,Individual,credit_card,Credit card refinancing
Membership Specialist,3 years,RENT,36000,Verified,NC,1225,7347,Fully Paid,8000,NC,8000, 36 months,0.0789,250.28999,A,false,Individual,debt_consolidation,Debt consolidation
Field Inventory Specialist,3 years,MORTGAGE,65000,Not Verified,MO,18551,166955,Current,7500,MO,7500, 36 months,0.0756,233.50999,A,false,Individual,major_purchase,Major purchase
Quotations representative,< 1 year,RENT,60000,Verified,CA,2453,24529,Current,24000,CA,24000, 36 months,0.1049,779.95001,B,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Administrative Assistant ,10+ years,MORTGAGE,40000,Not Verified,GA,11622,127842,Current,6000,GA,6000, 36 months,0.124,200.44,B,false,Individual,debt_consolidation,Debt consolidation
sales and service,10+ years,OWN,55000,Source Verified,CT,38708,154833,Current,20000,CT,20000, 36 months,0.1449,688.33002,C,false,INDIVIDUAL,home_improvement,Home improvement
Property Manager ,1 year,RENT,60000,Verified,CO,32984,164922,Current,15000,CO,15000, 36 months,0.1091,490.45001,B,false,Individual,other,Other
Laon Administration Specialist,5 years,RENT,35910,Not Verified,NC,17621,176211,Fully Paid,12150,NC,12150, 60 months,0.2215,336.60999,E,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Caregiver,6 years,OWN,36000,Not Verified,CA,893,10719,Current,5000,CA,5000, 36 months,0.0532,150.58,A,false,Individual,major_purchase,Major purchase
MARKETING MATERIALS COORDINATOR,4 years,RENT,42500,Source Verified,NC,1962,23538,Current,4000,NC,4000, 36 months,0.1399,136.7,C,false,INDIVIDUAL,other,Other
Merchant Rep,6 years,RENT,80000,Not Verified,CA,3588,35881,Current,18000,CA,18000, 36 months,0.1144,593.06,B,false,INDIVIDUAL,credit_card,Credit card refinancing
Teacher,10+ years,MORTGAGE,57000,Not Verified,TX,8554,76988,Current,11200,TX,11200, 36 months,0.0859,354.03,A,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Manufacturing Technician,7 years,OWN,100000,Source Verified,GA,1590,22261,Current,40000,GA,40000, 60 months,0.124,897.89001,B,false,Individual,debt_consolidation,Debt consolidation
Army,10+ years,RENT,66000,Verified,OK,8067,56469,Fully Paid,25000,OK,25000, 60 months,0.06,483.32001,F,false,INDIVIDUAL,debt_consolidation,All my bills
Front desk manager ,3 years,RENT,18000,Verified,MT,3063,42881,Current,3000,MT,3000, 36 months,0.1505,104.07,C,false,Individual,moving,Moving and relocation
Bus Operator,4 years,MORTGAGE,120000,Not Verified,NY,42311,465424,Current,20000,NY,20000, 36 months,0.0819,628.48999,A,false,Individual,debt_consolidation,Debt consolidation
Tech Manager,10+ years,MORTGAGE,180000,Source Verified,NJ,35439,425264,Current,30000,NJ,30000, 36 months,0.0784,937.88,A,false,Individual,credit_card,Credit card refinancing
Fordyce School District,10+ years,MORTGAGE,70000,Verified,AR,3600,61202,Charged Off,30000,AR,30000, 60 months,0.235,854.35999,F,false,INDIVIDUAL,debt_consolidation,Excel
Supervisor ,10+ years,OWN,45000,Verified,FL,1428,12852,Current,22500,FL,22500, 36 months,0.1349,763.44,C,false,Individual,debt_consolidation,Debt consolidation
Director,8 years,RENT,75000,Source Verified,MD,8390,50338,Late (31-120 days),20000,MD,20000, 60 months,0.2485,585.27002,E,false,Individual,debt_consolidation,Debt consolidation
Relationship Manager,9 years,MORTGAGE,150000,Verified,NJ,35940,539110,Current,19200,NJ,19200, 60 months,0.1502,456.97,C,false,Individual,credit_card,Credit card refinancing
sonographer,3 years,MORTGAGE,65000,Verified,OH,2288,36603,Current,24000,OH,24000, 60 months,0.0993,509.10999,B,false,Joint App,debt_consolidation,Debt consolidation
IT Director,4 years,MORTGAGE,164000,Not Verified,NC,17747,319449,Fully Paid,24000,NC,24000, 36 months,0.0689,739.84998,A,false,Individual,credit_card,Credit card refinancing
Administrator,10+ years,MORTGAGE,151000,Verified,CT,35742,393167,Current,24000,CT,24000, 60 months,0.0769,483.09,A,false,INDIVIDUAL,debt_consolidation,Debt consolidation
DISTRICT SALES MANAGER,3 years,MORTGAGE,242000,Source Verified,CA,1704,10226,Fully Paid,28000,CA,28000, 36 months,0.0692,863.53998,A,false,Individual,debt_consolidation,Debt consolidation
Union electrician,10+ years,MORTGAGE,61100,Not Verified,RI,5214,41714,Current,15000,RI,15000, 36 months,0.0646,459.47,A,false,Individual,credit_card,Credit card refinancing
Waitress,10+ years,MORTGAGE,25000,Not Verified,TX,16153,306907,Current,20000,TX,20000, 36 months,0.1505,693.79999,C,false,Joint App,debt_consolidation,Debt consolidation
Insurance specialist,3 years,MORTGAGE,35000,Not Verified,IL,6657,79888,Current,12250,IL,12250, 36 months,0.0993,394.88,B,false,Individual,debt_consolidation,Debt consolidation
Judge,5 years,MORTGAGE,138000,Source Verified,MI,33701,303308,Current,6000,MI,6000, 36 months,0.1042,194.78999,B,false,Individual,home_improvement,Home improvement
owner,10+ years,RENT,42000,Not Verified,TX,525,2625,Current,2400,TX,2400, 36 months,0.1599,84.370003,C,false,INDIVIDUAL,other,Other
Area Director of Sales Home Health Div,7 years,MORTGAGE,110000,Source Verified,KY,32654,195921,Current,20000,KY,20000, 60 months,0.139,464.32999,C,false,Joint App,debt_consolidation,Debt consolidation
Senior Superintendent ,10+ years,OWN,181024.41,Source Verified,WA,11249,191227,Current,23875,WA,23875, 60 months,0.2305,673.73999,D,false,Individual,debt_consolidation,Debt consolidation
Flight Attendant,10+ years,RENT,71000,Source Verified,FL,2188,30636,Current,25000,FL,25000, 60 months,0.2305,705.48999,D,false,Individual,debt_consolidation,Debt consolidation
Claims Adjustor,10+ years,MORTGAGE,165000,Not Verified,OH,28246,282464,Current,40000,OH,40000, 36 months,0.0646,1225.24,A,false,Individual,debt_consolidation,Debt consolidation
RGM,10+ years,MORTGAGE,55800,Not Verified,AZ,12954,155449,Current,2500,AZ,2500, 36 months,0.0699,77.190002,A,false,INDIVIDUAL,other,Other
Senior Systems Engineer,2 years,MORTGAGE,110000,Verified,OH,14616,190010,Current,21775,OH,21775, 60 months,0.1655,535.91998,D,false,Individual,debt_consolidation,Debt consolidation
Pilates Instructor/Owner,3 years,MORTGAGE,25000,Source Verified,IL,1209,15720,Fully Paid,4800,IL,4800, 36 months,0.1399,164.03,C,false,Individual,home_improvement,Home improvement
Sr. Cybersecurity Architect Consultant,2 years,RENT,145000,Source Verified,GA,1343,12083,Current,15000,GA,15000, 36 months,0.0646,459.47,A,false,Individual,credit_card,Credit card refinancing
pharmacy technician,8 years,MORTGAGE,24500,Source Verified,ME,8172,73550,Fully Paid,11250,ME,11250, 36 months,0.1205,373.92999,C,false,Individual,debt_consolidation,Debt consolidation
manager,10+ years,RENT,59000,Verified,CA,2432,17023,Current,18000,CA,18000, 60 months,0.1049,386.81,B,false,Individual,credit_card,Credit card refinancing
Database Coordinator,4 years,RENT,50000,Source Verified,NY,7040,91518,Late (31-120 days),12000,NY,12000, 60 months,0.3065,393.04999,F,false,Individual,small_business,Business
Wind Tech,1 year,MORTGAGE,116000,Source Verified,TX,18523,259319,Charged Off,2400,TX,2400, 36 months,0.1797,86.730003,D,false,Individual,other,Other
Officer,4 years,RENT,37000,Source Verified,GA,7713,69419,Current,15525,GA,15525, 60 months,0.1727,388.10001,D,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Marketing Brand Specialist,3 years,MORTGAGE,100000,Not Verified,MI,15138,166516,Current,12000,MI,12000, 36 months,0.0619,366.10001,A,false,Individual,debt_consolidation,Debt consolidation
Financial analyst II,2 years,MORTGAGE,72000,Not Verified,MI,3251,52018,Current,10000,MI,10000, 36 months,0.109,326.92001,B,false,Individual,debt_consolidation,Debt consolidation
category planner,10+ years,MORTGAGE,72000,Source Verified,CA,49102,343714,Current,24000,CA,24000, 36 months,0.0721,743.35999,A,false,Individual,debt_consolidation,Debt consolidation
Administrative assistant ,1 year,MORTGAGE,30000,Not Verified,TX,47569,237847,Current,10000,TX,10000, 36 months,0.1072,326.07001,B,false,Joint App,debt_consolidation,Debt consolidation
coordinator ,10+ years,MORTGAGE,71000,Verified,MD,17593,228712,Current,30000,MD,30000, 36 months,0.1992,1113.6899,D,false,Individual,debt_consolidation,Debt consolidation
Sr. Human Resources Associate,1 year,RENT,61000,Source Verified,NJ,2109,31634,Current,6300,NJ,6300, 36 months,0.1774,226.94,C,false,Individual,debt_consolidation,Debt consolidation
Sales,2 years,MORTGAGE,80000,Source Verified,LA,3916,54822,Current,15000,LA,15000, 36 months,0.0739,465.84,A,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Supervisor,10+ years,RENT,38000,Source Verified,MA,1837,14692,Fully Paid,15200,MA,15200, 36 months,0.1333,514.57001,C,false,Individual,debt_consolidation,Debt consolidation
Graphic Designer,10+ years,MORTGAGE,72895.023,Source Verified,IL,17267,276267,Current,30000,IL,30000, 36 months,0.0532,903.45001,A,false,INDIVIDUAL,debt_consolidation,Debt consolidation
VP OF TECHNOLOGY,10+ years,RENT,200000,Source Verified,FL,7441,52086,Current,40000,FL,40000, 36 months,0.1033,1296.9,B,false,Individual,debt_consolidation,Debt consolidation
sales associate,10+ years,RENT,37895,Source Verified,TN,4525,31681,Current,12000,TN,12000, 60 months,0.1171,265.17999,B,false,Individual,debt_consolidation,Debt consolidation
Biomedical technician ,1 year,RENT,60000,Verified,TX,2731,38238,Current,20000,TX,20000, 36 months,0.225,769,D,false,Individual,debt_consolidation,Debt consolidation
Project Manager,10+ years,MORTGAGE,180000,Verified,NJ,28233,621115,Current,40000,NJ,40000, 36 months,0.1559,1398.2,C,false,INDIVIDUAL,home_improvement,Home improvement
Teacher,10+ years,OWN,65000,Not Verified,NY,10558,126696,Current,15000,NY,15000, 36 months,0.0699,463.09,A,false,Individual,credit_card,Credit card refinancing
Claims Manager,10+ years,RENT,150000,Verified,HI,5915,65070,Current,4000,HI,4000, 36 months,0.1602,140.67,C,false,Individual,other,Other
Owner-Therapist,10+ years,RENT,90000,Source Verified,GA,5797,52170,Fully Paid,18000,GA,18000, 36 months,0.1825,653.01001,D,false,INDIVIDUAL,small_business,Business
VP of IS,10+ years,MORTGAGE,174900,Source Verified,AZ,54321,597528,Current,22150,AZ,22150, 36 months,0.1148,730.21002,B,false,INDIVIDUAL,credit_card,Credit card refinancing
Accounting Supervisor,7 years,MORTGAGE,112700,Not Verified,VA,19335,348021,Current,28000,VA,28000, 60 months,0.0849,574.33002,B,false,INDIVIDUAL,credit_card,Credit card refinancing
Director of Opertions,10+ years,MORTGAGE,60000,Not Verified,IN,2896,57916,Current,2400,IN,2400, 36 months,0.124,80.18,B,false,Individual,debt_consolidation,Debt consolidation
